සිත් ,,,,ඵස්ස,වේදනා,සංඥා,චේතනා,ඒකග්ඝතා,ජිවිතින්ද්‍රිය,මනසිකාරය,විතක්ක,විචාර,අධිමොක්ඛා,වීරිය,පීතී,ඡන්ද,මෝහ,අහිරික,අනොත්තප්ප,උද්ධච්ච,ලෝභ,දිට්ඨි,මාන,දෝස,ඉස්සා,මච්ජරිය,කුක්කුච්ච,ථීන,මිද්ධ,විචිකිච්ජා,සද්ධා,සති,හිරි,ඔත්තප්ප,අලොභ,අදොස,තත්‍රමජ්ජත්තතා,කාය පස්සද්ධි,චිත්ත පස්සද්ධි,කාය ලහුතා,චිත්ත ලහුතා,කාය මුදුතා,චිත්ත මුදුතා,කාය කම්මගතා,චිත්ත කම්මගතා,කාය පාගුඤ්ඤතා,චිත්ත පාගුඤ්ඤතා,කායුජුකතා,චිත්තයුජුක්තා,සම්මා වචා,සම්මා කම්මන්ත,සම්මා ආජීවෝ,කරුණා,මුදිතා,පඤ්ඤා 
ප්‍රථම ධ්‍යාන,සෝතාපත්ති  ,මාර්ග සිත,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
ප්‍රථම ධ්‍යාන,සෝතාපත්ති  ,ඵල  සිත,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
ප්‍රථම ධ්‍යාන,සකදාගාමි,මාර්ග  සිත,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
ප්‍රථම ධ්‍යාන,සකදාගාමි,ඵල සිත,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
ප්‍රථම ධ්‍යාන,අනාගාමි,මාර්ග සිත,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
ප්‍රථම ධ්‍යාන,අනාගාමි,ඵල සිත,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
ප්‍රථම ධ්‍යාන,අර්හත්,මාර්ග සිත,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
ප්‍රථම ධ්‍යාන,අර්හත්,ඵල සිත,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
ද්වීතිය ධ්‍යාන,සෝතාපත්ති  ,මාර්ග සිත,,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
ද්වීතිය ධ්‍යාන,සෝතාපත්ති  ,ඵල සිත,,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
ද්වීතිය ධ්‍යාන,සකදාගාමි,මාරිග සිත,,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
